MODALIDAD,DELITO HOMOL
ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBÚS
ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBÚS
ROBO A TRANSEUNTE A BORDO DE MICROBUS CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBÚS
ROBO A TRANSEÚNTE A BORDO DE MICROBUS CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBÚS
TRANSEUNTE EN TAXI C/V,ROBO A PASAJERO A BORDO DE TAXI
ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI
ROBO A TRANSEUNTE A BORDO DE TAXI CON VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI
ROBO A TRANSEUNTE A BORDO DE TAXI PÚBLICO Y PRIVADO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE TAXI
TRANSEUNTE S/V EN EL METRO,ROBO A PASAJERO AL INTERIOR DEL METRO
TRANSEUNTE EN EL METRO C/V,ROBO A PASAJERO AL INTERIOR DEL METRO
ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO AL INTERIOR DEL METRO
ROBO A PASAJERO A BORDO DE METRO CON VIOLENCIA,ROBO A PASAJERO AL INTERIOR DEL METRO
ROBO A TRANSEÚNTE A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO AL INTERIOR DEL METRO
S/V. A REPARTIDOR,ROBO A REPARTIDOR
C/V. REPARTIDOR,ROBO A REPARTIDOR
ROBO DE AUTO Y REPARTIDOR C/V,ROBO A REPARTIDOR
ROBO DE AUTO Y REPARTIDOR S/V,ROBO A REPARTIDOR
ROBO A REPARTIDOR CON VIOLENCIA,ROBO A REPARTIDOR
ROBO A REPARTIDOR SIN VIOLENCIA,ROBO A REPARTIDOR
ROBO A REPARTIDOR Y VEHICULO CON VIOLENCIA,ROBO A REPARTIDOR
